Date,Innings,Opposition,Ground,Runs,Mins,BF,X4s,X6s,SR,Pos,Dismissal,Inns,Home_Away,Captaincy_Status
2015-05-31,1,Zimbabwe,Lahore,54,78,60,4,0,90.00,4,bowled,1,Home,Not_Captain
2015-07-11,2,Sri Lanka,Dambulla,25,48,30,3,0,83.33,4,lbw,2,Away,Not_Captain
2015-07-15,1,Sri Lanka,Pallekele,12,23,19,1,0,63.15,4,bowled,1,Away,Not_Captain
2015-11-11,2,England,Abu Dhabi,62,79,62,2,4,100.00,6,not out,2,Away,Not_Captain
2015-11-13,2,England,Abu Dhabi,4,8,6,0,0,66.66,2,lbw,2,Away,Not_Captain
2015-11-17,1,England,Sharjah,22,44,30,2,0,73.33,2,caught,1,Away,Not_Captain
2015-11-20,2,England,Dubai (DICS),51,65,51,5,1,100.00,4,caught,2,Away,Not_Captain
2016-01-25,2,New Zealand,Wellington,62,105,76,6,0,81.57,4,caught,2,Away,Not_Captain
2016-01-31,1,New Zealand,Auckland,83,129,77,10,1,107.79,4,caught,1,Away,Not_Captain
2016-08-18,1,Ireland,Dublin (Malahide),29,NA,29,2,0,100.00,4,caught,1,Away,Not_Captain
2016-08-24,1,England,Southampton,40,44,42,4,0,95.23,4,lbw,1,Away,Not_Captain
2016-08-27,1,England,Lord's,30,49,33,5,0,90.90,4,bowled,1,Away,Not_Captain
2016-08-30,2,England,Nottingham,9,31,19,0,0,47.36,4,caught,2,Away,Not_Captain
2016-09-01,1,England,Leeds,12,31,21,0,0,57.14,4,caught,1,Away,Not_Captain
2016-09-04,2,England,Cardiff,31,38,29,6,0,106.89,3,bowled,2,Away,Not_Captain
2016-09-30,1,West Indies,Sharjah,120,177,131,8,3,91.60,3,caught,1,Away,Not_Captain
2016-10-02,1,West Indies,Sharjah,123,164,126,9,1,97.61,3,caught,1,Away,Not_Captain
2016-10-05,1,West Indies,Abu Dhabi,117,NA,106,8,1,110.37,3,bowled,1,Away,Not_Captain
